id,name,genres,popularity,followers
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,vietnamese hip hopv-popvietnam indie,62,1174990
1Jmkhzve9TuXHUUWGmpANw,Wxrdie,vietnamese hip hopv-pop,65,509157
3diftVOq7aEIebXKkC34oR,tlinh,v-popvietnamese hip hopvietnam indievinahouse,66,1462383
6d0dLenjy5CnR5ZMn2agiV,GREY D,v-popvietnam indievietnamese hip hop,60,427085
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,v-popvietnam indievietnamese hip hopvinahouse,57,616110
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,vietnamese hip hopv-pop,67,251263
2nSO7JYDbJrYbJmP39qUzj,Binz,vietnamese hip hopv-popvinahousevietnam indie,60,1197994
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,v-popvietnamese hip hopvietnam indievinahouse,64,1024792
